Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
748th,1047,Richard Elgie,Team Elgie,M,Enduro | Master Male (30-39),29:39.1,+10:58.55,,,04:35.9,596th,+1:30.70,05:23.0,760th,+2:15.34,03:12.0,666th,+1:06.94,04:36.9,782nd,+1:37.49,03:52.5,881st,+1:49.21,02:50.9,716th,+0:44.51,05:07.9,759th,+1:58.89,,
749th,402,Richard Dresser,Wooldale Wobblers,M,Enduro | Veteran Male (40-49),29:39.6,+10:59.01,,,05:05.8,790th,+2:00.54,05:44.6,814th,+2:36.90,03:13.7,677th,+1:08.59,04:17.5,676th,+1:18.05,02:47.7,731st,+0:44.50,02:59.3,789th,+0:52.96,05:31.0,796th,+2:22.00,,
750th,924,Glenn Hutchinson,OYB Delinquents,M,Enduro | Grand Vet Male (50+),29:39.9,+10:59.31,,,04:55.5,740th,+1:50.25,05:31.1,790th,+2:23.49,03:40.0,807th,+1:34.90,04:16.4,666th,+1:16.96,02:54.4,785th=,+0:51.10,03:03.2,811th,+0:56.89,05:19.3,781st,+2:10.25,,
751st,1116,Daniel Darling,Two Wheeled All Terrain Society,M,Enduro | Veteran Male (40-49),29:40.0,+10:59.46,,,05:18.8,828th,+2:13.50,05:38.9,804th,+2:31.28,03:28.1,759th,+1:23.00,04:21.9,707th=,+1:22.45,02:44.6,693rd=,+0:41.35,02:58.7,785th,+0:52.40,05:09.0,763rd,+2:00.01,,
752nd,82,Dickon Hepworth,Santa Cruz Bicycles,M,Enduro | Veteran Male (40-49),29:40.3,+10:59.71,,,03:56.6,210th,+0:51.35,10:42.5,923rd,+7:34.84,02:41.3,266th=,+0:36.15,03:41.2,224th=,+0:41.80,02:24.6,238th=,+0:21.35,02:29.3,237th=,+0:22.90,03:44.8,217th,+0:35.85,,
753rd,1076,Matt Shore,Team Tom,M,Enduro | Master Male (30-39),29:40.6,+11:00.06,,,05:14.4,817th,+2:09.14,06:04.2,840th,+2:56.50,03:28.7,761st,+1:23.60,04:27.5,736th,+1:28.06,02:48.6,743rd,+0:45.34,02:53.4,742nd,+0:47.06,04:43.9,693rd,+1:34.89,,
n/c,211,Jake Stell,Gets Daft Racing,M,Enduro | Senior Male (18-29),29:43.0,,,E,04:29.0,n/c,,08:43.7,n/c,,02:53.8,n/c,,03:58.2,n/c,,02:43.7,n/c,,02:36.9,n/c,,04:17.6,n/c,,,
754th,536,James King Tours,Christoff,M,Enduro | Master Male (30-39),29:47.4,+11:06.76,,,05:06.1,793rd,+2:00.85,05:56.7,833rd,+2:48.99,03:31.9,784th,+1:26.75,04:42.8,798th,+1:43.36,02:50.7,758th,+0:47.45,02:57.4,775th,+0:51.04,04:41.8,684th,+1:32.85,,
755th,961,James Wilkinson,,M,Enduro | Master Male (30-39),29:48.4,+11:07.85,,,05:06.0,792nd,+2:00.70,05:05.6,698th,+1:57.94,03:41.1,813th,+1:35.99,05:03.2,841st,+2:03.70,03:00.0,811th,+0:56.75,03:05.6,823rd,+0:59.25,04:47.0,710th,+1:38.05,,
756th,792,Paul Macfarlane,Leak District Biking,M,Enduro | Veteran Male (40-49),29:50.0,+11:09.37,,,04:59.2,762nd,+1:53.96,05:17.6,743rd,+2:09.94,03:45.0,831st,+1:39.85,04:43.0,799th,+1:43.60,02:53.3,777th,+0:50.10,03:01.3,799th,+0:55.00,05:10.4,766th,+2:01.45,,
757th,894,Adam Shepard,Eyes on Pies,M,Enduro | Grand Vet Male (50+),29:51.7,+11:11.09,,,04:32.8,565th,+1:27.50,05:11.9,725th,+2:04.24,03:20.7,728th,+1:15.55,04:17.0,670th,+1:17.51,02:44.5,690th,+0:41.21,02:46.3,639th,+0:39.95,06:58.7,853rd,+3:49.66,,
758th,461,Jasmin Patel,Ard Jebs,F,Enduro | Master Female (30-39),29:52.3,+11:11.66,,,05:31.4,869th,+2:26.15,05:55.2,830th,+2:47.54,03:26.7,757th,+1:21.65,04:30.2,752nd,+1:30.75,02:42.6,654th=,+0:39.35,02:50.7,713th,+0:44.35,04:55.4,728th,+1:46.40,,
759th,758,Amy Cropper,Team Hume,F,Enduro | Master Female (30-39),29:54.8,+11:14.22,,,05:48.3,899th,+2:43.10,05:34.4,796th,+2:26.73,03:34.7,793rd,+1:29.61,04:24.6,723rd,+1:25.15,02:57.7,802nd,+0:54.45,02:59.7,791st,+0:53.31,04:35.4,646th,+1:26.40,,
760th,921,Nick Lowe,On Yer Bike Mansfield,M,Enduro | Veteran Male (40-49),29:59.2,+11:18.59,,,05:17.2,822nd,+2:11.90,05:22.8,758th,+2:15.09,03:43.9,826th,+1:38.75,04:23.3,715th,+1:23.86,02:55.2,790th,+0:51.95,02:54.1,746th,+0:47.71,05:22.9,789th,+2:13.86,,
761st,970,Tom Thorogood,RedSky Riders,M,Enduro | Veteran Male (40-49),29:59.7,+11:19.15,,,04:55.3,738th=,+1:50.10,05:29.8,787th,+2:22.19,03:30.8,777th,+1:25.75,04:22.0,709th,+1:22.51,02:56.5,799th,+0:53.21,03:01.8,803rd,+0:55.41,05:43.5,808th,+2:34.51,,
762nd,1118,Eliot Douthwaite,,M,Enduro | Master Male (30-39),30:01.7,+11:21.14,,,04:56.0,744th,+1:50.71,05:26.4,776th,+2:18.74,03:23.2,741st=,+1:18.10,04:46.4,805th,+1:46.96,03:05.4,835th,+1:02.15,03:03.6,813th,+0:57.30,05:20.7,784th,+2:11.71,,
763rd,165,Robert Allinson,Bob Allinson,M,Enduro | Grand Vet Male (50+),30:03.9,+11:23.29,,,04:58.8,760th,+1:53.60,05:55.7,832nd,+2:47.99,03:41.3,816th,+1:36.19,04:46.9,807th,+1:47.50,02:46.7,720th,+0:43.45,03:01.3,797th,+0:54.90,04:53.2,723rd,+1:44.19,,
764th,485,Barry Farrow,Farrow,M,Enduro | Veteran Male (40-49),30:06.3,+11:25.71,,,05:45.0,892nd,+2:39.70,05:25.1,769th,+2:17.48,03:33.8,792nd,+1:28.70,04:32.3,765th,+1:32.86,02:52.6,773rd,+0:49.35,02:50.5,708th=,+0:44.15,05:07.0,757th,+1:58.00,,
765th,587,Ed Lawrenz,Whyte Bikes,M,Enduro | Master Male (30-39),30:09.4,+11:28.81,,,05:41.0,881st,+2:35.75,05:37.8,801st,+2:30.14,03:30.8,776th,+1:25.71,04:39.3,789th,+1:39.85,02:47.1,724th,+0:43.89,02:54.4,749th,+0:48.00,04:59.0,732nd,+1:50.00,,
766th,507,James Butler,Brr factory racing,M,Enduro | Senior Male (18-29),30:12.3,+11:31.67,,,05:21.2,836th,+2:16.00,05:45.1,815th,+2:37.40,03:31.6,781st=,+1:26.51,04:57.4,829th,+1:57.91,02:39.6,600th,+0:36.39,02:52.5,734th,+0:46.10,05:04.9,749th=,+1:55.89,,
767th,762,Neil Duffy,Idiots on Bikes,M,Enduro | Grand Vet Male (50+),30:14.2,+11:33.65,,,04:57.4,752nd,+1:52.15,06:38.3,871st,+3:30.59,03:24.0,745th,+1:18.85,04:44.1,800th,+1:44.65,02:54.4,785th=,+0:51.10,02:54.7,752nd,+0:48.34,04:41.5,682nd,+1:32.50,,
768th,544,Peter Hempsall,Crash club,M,Enduro | Veteran Male (40-49),30:16.7,+11:36.13,,,05:20.0,832nd,+2:14.71,06:09.4,846th,+3:01.69,03:23.3,743rd,+1:18.15,04:35.0,776th,+1:35.55,02:54.6,788th=,+0:51.35,02:52.3,733rd,+0:45.96,05:02.3,745th=,+1:53.25,,
769th,929,Samuel Boswell,,M,Enduro | Senior Male (18-29),30:18.9,+11:38.30,,,07:32.9,944th,+4:27.66,04:43.6,555th,+1:35.95,03:04.5,583rd,+0:59.45,04:11.6,625th,+1:12.16,03:14.2,856th,+1:10.96,02:51.2,722nd,+0:44.86,04:40.8,676th,+1:31.79,,
770th,50,Jaime Gray,SplatShop.co.uk,F,Enduro | Veteran Female(40-49),30:19.6,+11:39.03,,,04:49.4,700th,+1:44.15,06:51.8,876th,+3:44.15,03:25.8,750th,+1:20.75,04:38.4,786th,+1:38.96,02:50.0,753rd,+0:46.71,02:54.8,754th,+0:48.49,04:49.4,713th,+1:40.35,,
771st,586,Suzanne Lacey,Whyte Bikes,F,Enduro | Master Female (30-39),30:20.1,+11:39.46,,,05:40.8,879th,+2:35.50,05:47.3,817th,+2:39.65,03:30.5,773rd,+1:25.36,04:39.1,788th,+1:39.69,02:47.6,730th,+0:44.40,02:55.4,760th,+0:49.09,04:59.3,733rd,+1:50.30,,
772nd,551,Joe Queen,Cyclelane.co.uk,M,Enduro | Veteran Male (40-49),30:23.3,+11:42.75,,,05:02.6,773rd=,+1:57.40,05:27.6,781st,+2:19.94,03:29.4,766th,+1:24.25,04:23.5,716th,+1:24.09,02:50.1,754th=,+0:46.85,03:02.1,804th=,+0:55.80,06:08.0,824th,+2:58.95,,
773rd,549,David Pettigrew,Cyclelane.co.uk,M,Enduro | Veteran Male (40-49),30:24.3,+11:43.67,,,05:03.5,778th,+1:58.25,05:28.6,783rd,+2:20.90,03:26.1,754th,+1:21.05,04:23.1,713th,+1:23.70,02:48.0,735th,+0:44.79,03:02.1,804th=,+0:55.80,06:12.7,831st,+3:03.71,,
774th,1108,Tim Peters,,M,Enduro | Grand Vet Male (50+),30:29.5,+11:48.87,,,05:39.4,878th,+2:34.15,05:49.2,821st,+2:41.49,03:25.3,748th,+1:20.15,04:32.4,766th,+1:32.96,02:48.6,745th,+0:45.36,02:57.4,774th,+0:51.00,05:17.3,778th,+2:08.29,,
775th,1147,Stephen Hurst,WOMOIW,M,Enduro | Master Male (30-39),30:32.6,+11:51.99,,,04:36.3,598th,+1:31.10,06:08.6,845th,+3:00.89,03:30.7,774th,+1:25.55,04:24.6,722nd,+1:25.11,02:52.2,771st,+0:48.99,02:59.6,790th,+0:53.24,06:00.6,821st,+2:51.64,,
776th,233,Nicholas Chapman,TW@T Racing,M,Enduro | Veteran Male (40-49),30:37.5,+11:56.96,,,05:54.1,906th,+2:48.80,06:30.7,862nd,+3:23.04,03:35.4,796th,+1:30.25,04:26.5,733rd,+1:27.01,02:43.9,679th,+0:40.69,02:46.1,634th,+0:39.76,04:40.9,677th,+1:31.94,,
777th,1104,Chris Oxley,Three Amigos Racing,M,Enduro | Veteran Male (40-49),30:38.4,+11:57.84,,,04:49.7,701st=,+1:44.46,05:18.0,745th,+2:10.34,03:32.9,788th,+1:27.76,04:50.1,811th,+1:50.65,03:01.8,816th,+0:58.60,03:12.4,846th,+1:06.00,05:53.6,815th,+2:44.56,,
778th,257,Ryan Horsman,Pegleg and Friends,M,Enduro | Master Male (30-39),30:38.8,+11:58.25,,,05:34.0,873rd,+2:28.75,05:48.8,820th,+2:41.14,04:06.8,874th,+2:01.69,05:42.6,873rd,+2:43.14,02:37.2,533rd,+0:33.90,02:37.6,443rd,+0:31.20,04:12.0,478th=,+1:02.96,,
779th,1123,Justin Pye,Ups and Downs Race Academy,M,Enduro | Grand Vet Male (50+),30:40.5,+11:59.87,,,04:51.0,712th,+1:45.76,05:37.2,798th,+2:29.59,03:30.7,775th,+1:25.65,04:27.5,737th,+1:28.09,02:58.8,805th,+0:55.60,03:04.5,819th,+0:58.15,06:10.6,827th,+3:01.56,,
780th,802,Joseph Chambers,Loam Serpents,M,Enduro | Senior Male (18-29),30:44.3,+12:03.73,,,04:48.5,695th,+1:43.30,04:43.2,546th,+1:35.53,03:37.6,801st,+1:32.46,04:35.6,777th,+1:36.15,02:54.6,788th=,+0:51.35,03:22.7,864th,+1:16.36,06:42.1,850th,+3:33.11,,
n/c,715,Peter Jackson,,M,Enduro | Grand Vet Male (50+),30:48.9,,,E,05:13.5,n/c,,05:53.9,n/c,,03:45.9,n/c,,04:46.2,n/c,,02:58.2,n/c,,03:00.5,n/c,,05:10.6,n/c,,,
n/c,717,Zack Mark,GNFR,M,Enduro | Master Male (30-39),30:50.1,,,E,05:09.3,n/c,,06:17.6,n/c,,03:42.8,n/c,,04:41.8,n/c,,02:55.7,n/c,,02:54.4,n/c,,05:08.5,n/c,,,
781st,831,Hannah Davies,Midpack Mafia,F,Enduro | Senior Female (18-29),30:50.4,+12:09.81,,,04:57.7,753rd,+1:52.40,05:26.7,779th=,+2:19.09,03:32.3,785th,+1:27.15,04:36.7,779th=,+1:37.24,03:02.0,817th,+0:58.70,03:02.6,808th,+0:56.30,06:12.5,830th,+3:03.46,,
782nd,730,Joe Taylor,Granny Coggers,M,Enduro | Master Male (30-39),30:56.0,+12:15.44,,,04:27.8,522nd,+1:22.56,05:23.2,761st,+2:15.54,03:13.7,676th,+1:08.56,06:22.7,884th,+3:23.30,02:48.9,747th,+0:45.65,03:45.5,880th,+1:39.20,04:54.2,725th,+1:45.16,,
783rd,1102,Robert Lusted,Three Amigos Racing,M,Enduro | Veteran Male (40-49),30:58.7,+12:18.12,,,05:13.0,813th,+2:07.75,05:28.9,785th,+2:21.24,03:32.5,787th,+1:27.36,04:51.4,813th,+1:51.96,03:06.9,840th,+1:03.65,03:09.6,843rd,+1:03.24,05:36.5,803rd,+2:27.45,,
784th,1103,Antony Barber,Three Amigos Racing,M,Enduro | Veteran Male (40-49),30:59.1,+12:18.47,,,05:02.6,773rd=,+1:57.40,05:26.7,777th,+2:18.99,03:46.5,835th,+1:41.45,04:31.2,758th,+1:31.70,03:01.1,813th,+0:57.81,03:17.2,858th,+1:10.86,05:53.8,816th,+2:44.79,,
785th,786,Joseph Durrant,LA234,M,Enduro | Veteran Male (40-49),31:00.8,+12:20.21,,,05:00.2,764th=,+1:55.00,05:43.8,812th,+2:36.09,03:44.0,827th,+1:38.85,04:41.4,795th,+1:41.91,02:59.4,810th,+0:56.16,03:05.5,822nd,+0:59.19,05:46.5,811th,+2:37.54,,
n/c,661,Katie Drake,Fat Creations,F,Enduro | Veteran Female(40-49),31:01.5,,,E,05:44.5,n/c,,06:04.6,n/c,,03:26.8,n/c,,04:40.8,n/c,,02:53.3,n/c,,02:55.9,n/c,,05:15.5,n/c,,,
786th,545,Cath Hempsall,Crash club,F,Enduro | Veteran Female(40-49),31:01.9,+12:21.33,,,05:29.5,864th,+2:24.26,06:14.4,848th,+3:06.74,03:38.3,803rd,+1:33.15,04:30.4,755th,+1:30.96,02:50.7,760th=,+0:47.50,02:56.0,765th,+0:49.65,05:22.6,788th,+2:13.60,,
787th,275,Ian Manner,RGDCC,M,Enduro | Veteran Male (40-49),31:03.0,+12:22.43,,,05:32.2,870th,+2:27.00,07:20.8,888th,+4:13.14,03:21.9,735th,+1:16.81,04:29.6,750th,+1:30.11,02:46.3,716th,+0:43.00,02:46.0,632nd,+0:39.65,04:46.2,706th,+1:37.25,,
n/c,555,Ben Farmer,Beginners luck,M,Enduro | Veteran Male (40-49),31:04.8,,,E,05:06.7,n/c,,06:22.8,n/c,,03:57.2,n/c,,04:49.7,n/c,,02:55.5,n/c,,02:57.1,n/c,,04:55.8,n/c,,,
788th,602,Kieran Williams,Eric Rides,M,Enduro | Veteran Male (40-49),31:05.6,+12:25.05,,,05:26.6,849th,+2:21.34,05:37.9,802nd,+2:30.24,03:29.2,765th,+1:24.11,04:56.1,825th,+1:56.70,03:09.5,849th,+1:06.25,03:08.0,836th=,+1:01.65,05:18.3,780th,+2:09.29,,
789th,795,Dave Baxter,Light and Sound,M,Enduro | Master Male (30-39),31:09.3,+12:28.73,,,05:30.2,867th,+2:24.95,05:01.6,679th,+1:53.94,03:46.6,836th,+1:41.46,04:42.8,797th,+1:43.30,02:49.1,748th=,+0:45.85,02:57.9,778th,+0:51.55,06:21.2,835th,+3:12.21,,
790th,645,Andy Pinkus,,M,Enduro | Grand Vet Male (50+),31:16.5,+12:35.95,,,04:52.3,725th,+1:47.04,05:54.2,828th,+2:46.53,03:40.8,811th=,+1:35.71,05:03.8,845th,+2:04.30,03:02.1,818th,+0:58.81,03:02.5,806th=,+0:56.15,05:40.9,805th,+2:31.94,,
791st,943,Tony Power,Quirky Racing,M,Enduro | Grand Vet Male (50+),31:21.7,+12:41.08,,,05:06.5,795th,+2:01.25,05:30.0,788th,+2:22.30,03:23.4,744th,+1:18.26,04:52.1,816th,+1:52.65,03:03.6,826th,+1:00.39,03:03.9,816th,+0:57.56,06:22.2,836th,+3:13.20,,
792nd,813,Symon Mcgregor,Looseriders,M,Enduro | Grand Vet Male (50+),31:24.2,+12:43.61,,,05:17.2,823rd,+2:12.00,06:10.8,847th,+3:03.09,03:58.8,861st,+1:53.69,04:46.4,804th,+1:46.95,02:52.4,772nd,+0:49.15,03:09.5,842nd,+1:03.16,05:09.1,764th,+2:00.10,,
793rd,259,Andy Horsman,Pegleg and Friends,M,Enduro | Master Male (30-39),31:25.3,+12:44.70,,,05:44.9,891st,+2:39.69,06:15.8,850th,+3:08.15,04:09.5,875th,+2:04.40,04:31.5,761st,+1:32.10,02:42.8,660th,+0:39.54,02:51.8,729th,+0:45.45,05:08.9,762nd,+1:59.90,,
794th,442,Martin Madigan,Alpine Addiction,M,Enduro | Grand Vet Male (50+),31:29.8,+12:49.22,,,06:02.3,912th,+2:57.06,05:24.5,767th,+2:16.84,03:45.9,833rd,+1:40.80,04:18.8,690th,+1:19.35,02:59.4,808th=,+0:56.15,03:01.4,800th,+0:55.05,05:57.5,819th,+2:48.50,,
795th,548,Tom Elliott,Crash club,M,Enduro | Veteran Male (40-49),31:37.0,+12:56.37,,,05:56.3,907th,+2:51.06,06:23.2,855th,+3:15.54,03:35.5,797th,+1:30.40,04:40.9,793rd=,+1:41.45,02:53.0,774th,+0:49.75,02:54.8,755th,+0:48.50,05:13.2,769th,+2:04.20,,
796th,161,Shaun Duggan,BMeX,M,Enduro | Veteran Male (40-49),31:43.3,+13:02.74,,,03:55.7,200th,+0:50.44,10:54.2,924th,+7:46.49,02:51.0,410th=,+0:45.90,04:38.5,787th,+1:39.04,02:28.1,328th,+0:24.85,02:38.7,470th,+0:32.34,04:17.2,526th,+1:08.21,,
n/c,519,Andy Bond,Cannock MTB Collective,M,Enduro | Master Male (30-39),31:44.4,,,E,05:31.4,n/c,,06:10.7,n/c,,03:48.5,n/c,,04:51.2,n/c,,02:56.7,n/c,,03:08.7,n/c,,05:17.1,n/c,,,
n/c,872,David Carey,,M,Enduro | Veteran Male (40-49),31:45.5,,,E,05:16.1,n/c,,06:04.4,n/c,,03:50.1,n/c,,05:16.3,n/c,,02:52.4,n/c,,03:02.5,n/c,,05:23.9,n/c,,,
797th,609,Ian White,LeisureLakesUlverston,M,Enduro | Veteran Male (40-49),31:47.9,+13:07.31,,,05:49.5,901st,+2:44.25,05:44.3,813th,+2:36.63,04:17.1,876th,+2:12.00,04:57.8,830th,+1:58.35,02:57.0,801st,+0:53.71,03:07.1,832nd,+1:00.75,04:55.1,727th,+1:46.15,,
798th,787,David Baddeley,LA234,M,Enduro | Master Male (30-39),31:48.8,+13:08.25,,,05:28.7,861st,+2:23.40,05:39.7,806th,+2:32.03,03:42.8,823rd=,+1:37.74,04:32.0,764th,+1:32.55,02:59.1,806th,+0:55.81,02:58.4,782nd,+0:52.00,06:28.2,840th,+3:19.25,,
799th,550,Gordon Pettigrew,Cyclelane.co.uk,M,Enduro | Master Male (30-39),31:51.4,+13:10.86,,,03:44.6,114th,+0:39.35,04:16.9,343rd=,+1:09.29,02:38.5,229th,+0:33.36,11:22.1,887th,+8:22.65,02:31.6,415th,+0:28.40,02:44.6,605th,+0:38.24,04:33.1,630th,+1:24.10,,
800th,166,Ross Grimmett,FAF,M,Enduro | Veteran Male (40-49),31:57.1,+13:16.48,,,10:57.8,957th,+7:52.50,04:35.0,482nd,+1:27.34,02:59.2,520th,+0:54.15,03:50.6,362nd,+0:51.20,02:30.5,385th=,+0:27.25,02:37.5,439th,+0:31.11,04:26.5,591st,+1:17.46,,
801st,554,Tom Easton,Beginners luck,M,Enduro | Master Male (30-39),32:00.9,+13:20.26,,,05:19.5,831st,+2:14.29,06:35.9,869th,+3:28.19,03:50.9,846th,+1:45.76,04:58.5,832nd,+1:59.05,02:56.5,798th,+0:53.20,03:05.7,824th=,+0:59.40,05:13.9,770th,+2:04.90,,
802nd,933,Samantha Baker,,F,Enduro | Master Female (30-39),32:04.4,+13:23.85,,,05:25.0,843rd,+2:19.75,05:50.5,823rd,+2:42.84,03:42.8,823rd=,+1:37.74,05:07.9,849th,+2:08.50,03:08.3,845th,+1:05.01,03:17.0,856th,+1:10.65,05:32.9,800th,+2:23.89,,
803rd,612,Tom Hornsby,ExWorkCollleagues,M,Enduro | Master Male (30-39),32:08.4,+13:27.82,,,05:28.6,860th,+2:23.31,05:27.8,782nd,+2:20.15,03:40.1,808th,+1:34.95,04:59.6,837th=,+2:00.19,03:07.8,842nd,+1:04.50,03:14.7,849th,+1:08.35,06:09.9,826th,+3:00.90,,
804th,443,Andy Doxey,Anonymous Beavers,M,Enduro | Grand Vet Male (50+),32:09.2,+13:28.62,,,05:42.8,886th,+2:37.50,05:42.6,809th,+2:34.90,04:01.5,866th=,+1:56.40,04:58.8,834th,+1:59.39,03:05.8,836th,+1:02.55,03:05.4,821st,+0:59.05,05:32.4,799th,+2:23.36,,
805th,887,Aimee Mcmillan,Side Berms,F,Enduro | Master Female (30-39),32:25.3,+13:44.74,,,05:08.8,800th,+2:03.59,05:38.7,803rd,+2:31.00,04:01.5,866th=,+1:56.40,04:53.2,819th=,+1:53.75,02:55.2,791st,+0:52.00,02:58.2,781st,+0:51.84,06:49.7,852nd,+3:40.69,,
806th,41,Lizzie Moxon,,F,Enduro | Veteran Female(40-49),32:25.9,+13:45.31,,,05:10.4,805th,+2:05.16,07:41.6,895th,+4:33.93,03:34.8,794th,+1:29.70,04:42.3,796th,+1:42.84,02:54.3,784th,+0:51.00,02:56.8,769th,+0:50.45,05:25.8,792nd,+2:16.76,,
807th,918,Miles Boyd,On Yer Bike Mansfield,M,Enduro | Veteran Male (40-49),32:31.5,+13:50.93,,,05:28.0,856th,+2:22.75,05:55.5,831st,+2:47.85,03:41.3,817th,+1:36.21,04:51.8,815th,+1:52.40,03:03.4,825th,+1:00.15,03:05.7,824th=,+0:59.40,06:25.7,838th,+3:16.70,,
808th,1145,Lewis Wilkinson,Wigko,M,Enduro | Senior Male (18-29),32:45.5,+14:04.87,,,05:00.2,764th=,+1:55.00,05:04.5,693rd,+1:56.84,03:42.6,821st,+1:37.50,04:59.6,837th=,+2:00.19,03:25.1,872nd,+1:21.84,03:26.3,870th,+1:19.99,07:07.0,857th,+3:58.04,,
809th,552,Andrew Finlayson,Cyclelane.co.uk,M,Enduro | Veteran Male (40-49),32:48.7,+14:08.07,,,04:13.8,370th=,+1:08.50,04:12.0,299th,+1:04.30,02:55.0,462nd=,+0:49.90,03:56.6,436th,+0:57.14,09:32.3,886th,+7:29.00,02:57.0,772nd,+0:50.65,05:02.1,743rd,+1:53.11,,
810th,1093,Chloe Price,Trash Free Trails,F,Enduro | Senior Female (18-29),32:58.4,+14:17.82,,,05:08.6,799th,+2:03.31,05:51.7,825th,+2:44.09,03:44.0,828th,+1:38.90,05:01.9,840th,+2:02.44,03:15.9,860th,+1:12.64,03:17.1,857th,+1:10.71,06:39.3,846th,+3:30.26,,
811th,1106,Michael Mcluskey,,M,Enduro | Grand Vet Male (50+),33:02.5,+14:21.92,,,05:15.2,819th,+2:10.00,07:46.6,897th,+4:38.94,03:41.2,814th=,+1:36.15,04:34.5,774th,+1:35.10,02:50.7,760th=,+0:47.50,02:42.9,569th,+0:36.51,06:11.3,828th,+3:02.25,,
812th,454,Pete Howard,Anonymous Beavers,M,Enduro | Grand Vet Male (50+),33:08.4,+14:27.84,,,06:02.0,911th,+2:56.79,06:25.2,856th,+3:17.58,04:00.4,864th,+1:55.35,04:59.1,835th,+1:59.65,03:03.7,827th,+1:00.45,03:13.0,848th,+1:06.65,05:24.9,791st,+2:15.90,,
813th,1058,Rachel Clay,Refresh Cycles,F,Enduro | Veteran Female(40-49),33:16.0,+14:35.44,,,05:50.3,902nd,+2:45.09,06:18.9,852nd,+3:11.24,03:48.3,841st,+1:43.19,04:48.8,810th,+1:49.34,03:02.9,823rd,+0:59.70,03:06.0,826th,+0:59.60,06:20.8,834th,+3:11.81,,
814th,746,Josie Herbert,Hampshire Huckers,F,Enduro | Grand Vet Female(50+),33:17.6,+14:37.01,,,05:48.1,896th,+2:42.81,06:33.1,866th,+3:25.44,03:44.6,829th,+1:39.50,04:37.6,784th,+1:38.15,02:55.3,792nd,+0:52.04,03:02.9,809th,+0:56.56,06:36.0,845th,+3:27.04,,
815th,172,Toby Smith,Brink,M,Enduro | Senior Male (18-29),33:19.1,+14:38.48,,,06:30.3,923rd,+3:25.00,09:09.8,917th,+6:02.09,03:33.6,790th,+1:28.55,04:27.6,738th,+1:28.11,02:42.3,648th,+0:39.00,02:45.2,613th,+0:38.80,04:10.5,464th,+1:01.46,,
816th,798,Ty Wilson- Higham,,M,Enduro | Senior Male (18-29),33:21.0,+14:40.45,,,05:25.1,844th,+2:19.85,05:32.2,791st,+2:24.59,03:55.1,849th,+1:50.04,05:04.8,847th,+2:05.35,03:12.5,853rd,+1:09.20,03:10.7,844th,+1:04.31,07:00.6,855th,+3:51.64,,
817th,794,Dan Cobley,Light and Sound,M,Enduro | Senior Male (18-29),33:27.5,+14:46.87,H,,05:30.8,868th,+2:25.60,05:20.0,752nd,+2:12.34,03:53.9,847th,+1:48.84,04:52.5,817th,+1:53.05,03:08.4,847th,+1:05.11,03:29.9,873rd,+1:23.55,07:11.9,861st,+4:02.91,,
818th,349,James Turner,Smith Brothers Racing,M,Enduro | Grand Vet Male (50+),33:39.2,+14:58.64,,,05:48.8,900th,+2:43.50,08:03.0,903rd,+4:55.30,03:47.4,839th,+1:42.25,04:56.6,826th,+1:57.11,02:55.9,794th,+0:52.65,02:57.0,771st,+0:50.61,05:10.7,767th,+2:01.75,,
819th,1165,Rachel Bennet,MBUK,F,Enduro | Master Female (30-39),33:43.5,+15:02.88,,,06:32.0,924th,+3:26.71,07:41.0,894th,+4:33.30,04:01.4,865th,+1:56.26,04:51.5,814th,+1:52.05,02:56.2,795th,+0:52.95,02:56.8,770th,+0:50.50,04:44.6,699th,+1:35.64,,
820th,1036,Macauley Banfield,The Wheel Deal,M,Enduro | Senior Male (18-29),33:43.8,+15:03.25,,,05:18.8,829th,+2:13.55,05:25.2,770th=,+2:17.50,04:02.5,868th,+1:57.40,05:14.5,855th,+2:15.10,03:32.1,876th,+1:28.81,03:31.5,876th,+1:25.11,06:39.3,847th,+3:30.31,,
821st,1019,Kitty Dennis,NLTCBMBC,F,Enduro | Senior Female (18-29),33:46.4,+15:05.86,,,05:28.3,859th,+2:23.10,05:47.8,818th,+2:40.18,03:39.9,806th,+1:34.84,04:57.9,831st,+1:58.45,03:05.0,834th,+1:01.75,03:16.6,855th,+1:10.26,07:30.8,864th,+4:21.81,,
822nd,142,Rob Pratt,Bare Hill Bikers,M,Enduro | Master Male (30-39),33:46.6,+15:06.01,,,05:22.0,840th,+2:16.71,09:23.2,918th,+6:15.59,03:33.5,789th,+1:28.36,04:53.0,818th,+1:53.59,02:50.2,756th,+0:46.94,02:55.5,761st=,+0:49.15,04:49.2,712th,+1:40.20,,
823rd,325,John Lambert,Starling Cycles,M,Enduro | Veteran Male (40-49),33:53.7,+15:13.11,,,05:45.9,894th,+2:40.65,10:00.4,922nd,+6:52.78,03:16.2,701st,+1:11.15,04:40.9,793rd=,+1:41.45,02:41.6,638th,+0:38.36,02:41.9,541st,+0:35.54,04:46.7,708th,+1:37.71,,
