Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
107th,186,Joe Forrest, ,Enduro | Senior Male,00:22:20.4,+2:54.68, ,00:04:29.2,64th,00:03:16.1,71st,00:03:06.6,50th,00:03:13.1,63rd,00:02:29.6,170th=,00:03:06.2,760th=,00:02:39.6,329th=
108th,139,Stephen Hardy,RIDGE RACING,Enduro | Veteran Male,00:22:22.5,+2:56.73, ,00:04:39.9,123rd,00:03:21.1,103rd,00:03:21.2,183rd,00:03:23.0,141st,00:02:31.0,199th,00:02:42.0,157th,00:02:24.2,93rd
109th,190,Andy Lund,North wales trails,Enduro | Master Male,00:22:22.8,+2:57.04, ,00:04:32.2,73rd,00:03:22.5,111th,00:03:17.6,144th=,00:03:29.8,233rd=,00:02:35.3,315th,00:02:39.9,116th,00:02:25.5,107th
110th,1196,Juan Christen,LA Fuza Fango,Enduro | Veteran Male,00:22:23.6,+2:57.86, ,00:04:51.5,217th,00:03:26.2,137th,00:03:12.2,93rd,00:03:26.4,184th,00:02:23.6,60th,00:02:38.8,98th,00:02:25.0,100th
111th,980,Paul Brown,The Pork Pie Syndicate,Enduro | Master Male,00:22:26.2,+3:00.42, ,00:04:41.1,131st,00:03:28.2,155th,00:03:21.5,185th,00:03:18.9,105th,00:02:27.0,114th,00:02:44.8,220th=,00:02:24.7,95th
112th,641,Mark Mcgee,Manx MTB Enduro,Enduro | Senior Male,00:22:28.8,+3:02.99, ,00:04:40.5,127th,00:03:28.1,154th,00:03:19.4,163rd,00:03:21.8,134th=,00:02:30.5,189th,00:02:42.4,162nd,00:02:26.1,114th
113th,237,Mark Sinclair,Army Enduro MTB Team,Enduro | Master Male,00:22:29.0,+3:03.26, ,00:04:51.9,219th,00:03:28.8,162nd,00:03:12.6,97th,00:03:17.5,91st,00:02:28.3,137th,00:02:40.6,129th,00:02:29.3,151st
114th,521,Robin Brown,High Peak Cycles / Team Moron,Enduro | Master Male,00:22:29.7,+3:03.95, ,00:04:45.4,168th,00:03:29.6,166th,00:03:17.8,148th,00:03:21.4,126th,00:02:30.2,182nd,00:02:39.9,115th,00:02:25.4,105th=
115th,936,Dave Stonehouse, ,Enduro | Master Male,00:22:29.9,+3:04.15, ,00:04:39.1,115th,00:03:28.7,159th,00:03:14.7,113th,00:03:17.9,93rd,00:02:30.6,190th,00:02:49.3,340th=,00:02:29.6,161st
116th,184,Reece Thomas,Franks head,Enduro | Master Male,00:22:30.1,+3:04.37, ,00:04:41.9,137th,00:03:21.1,101st,00:03:16.5,132nd,00:03:20.5,119th,00:02:34.5,296th,00:02:43.8,186th,00:02:31.9,189th=
117th,110,Dan Farish,Bikepark Dent,Enduro | Senior Male,00:22:30.4,+3:04.68, ,00:04:43.7,149th,00:03:26.0,136th,00:03:20.2,176th,00:03:17.4,90th,00:02:33.8,272nd,00:02:43.8,187th,00:02:25.6,109th
118th,65,Will Sisson,Team JED,Enduro | Master Male,00:22:31.7,+3:05.90, ,00:04:38.1,108th,00:03:21.7,108th,00:03:17.6,143rd,00:03:23.2,143rd,00:02:35.5,321st=,00:02:48.4,312th,00:02:27.3,127th
119th,802,William Sewell,RAD BIKE SHACK,Enduro | Master Male,00:22:32.0,+3:06.23, ,00:04:40.0,124th,00:03:40.9,280th=,00:03:10.9,82nd,00:03:16.2,83rd,00:02:22.2,47th,00:02:41.4,143rd,00:02:40.5,353rd
120th,187,Christopher Rooke, ,Enduro | Master Male,00:22:32.2,+3:06.39, ,00:04:45.4,167th,00:03:25.3,128th=,00:03:17.6,144th=,00:03:19.1,108th,00:02:29.9,174th,00:02:44.7,216th,00:02:30.3,172nd
121st,427,Shaun Sykes,DATCC,Enduro | Veteran Male,00:22:32.4,+3:06.60, ,00:04:42.3,140th,00:03:30.2,172nd,00:03:24.3,211th,00:03:25.3,162nd,00:02:27.8,126th,00:02:39.4,109th,00:02:23.1,84th
122nd,523,Graham Cottingham,how now Brown pow,Enduro | Senior Male,00:22:32.7,+3:06.89, ,00:04:36.9,98th,00:03:25.6,132nd,00:03:17.1,138th,00:03:19.8,114th,00:02:29.0,152nd,00:02:39.3,105th,00:02:45.0,443rd=
123rd,153,Paul Dodsley,tredshop,Enduro | Veteran Male,00:22:32.8,+3:07.07, ,00:04:42.5,142nd,00:03:27.9,150th,00:03:15.9,124th,00:03:22.3,140th,00:02:32.0,225th,00:02:42.4,161st,00:02:29.8,165th
124th,97,Adam Dean, ,Enduro | Master Male,00:22:33.6,+3:07.79, ,00:04:36.8,97th,00:03:31.1,182nd,00:03:22.8,199th,00:03:24.8,157th,00:02:32.6,245th=,00:02:42.0,156th,00:02:23.6,89th
125th,791,Azz Coulton,POWER,Enduro | Master Male,00:22:33.6,+3:07.86, ,00:04:44.3,160th,00:03:25.3,131st,00:03:21.8,189th,00:03:24.5,154th,00:02:23.9,67th,00:02:40.8,131st=,00:02:33.1,216th=
126th,41,Carl Jennings,Whyte Bikes GB,Enduro | Veteran Male,00:22:33.6,+3:07.86, ,00:04:31.6,69th,00:03:17.2,78th,00:03:10.7,79th,00:03:11.8,51st,00:02:31.5,208th,00:02:40.8,133rd,00:03:10.1,761st
127th,591,Stephen Jones,Let's go ride bikes,Enduro | Master Male,00:22:34.4,+3:08.58, ,00:04:43.1,144th,00:03:28.8,161st,00:03:17.3,142nd,00:03:26.8,191st,00:02:28.9,149th=,00:02:41.1,136th,00:02:28.3,142nd
128th,1072,Pete Rees, ,Enduro | Master Male,00:22:34.8,+3:09.04, ,00:04:39.4,119th,00:03:23.2,114th,00:03:16.1,126th,00:03:26.6,190th,00:02:30.8,195th,00:02:50.5,378th,00:02:28.2,139th
129th,571,Brett Newsham,Velo Ulverston,Enduro | Master Male,00:22:37.3,+3:11.58, ,00:04:49.1,195th,00:03:23.7,117th,00:03:20.5,178th,00:03:21.3,125th,00:02:28.1,132nd,00:02:44.2,198th=,00:02:30.4,175th
130th,356,Chris Harman,Cliffe mtb,Enduro | Senior Male,00:22:39.0,+3:13.24, ,00:04:46.4,180th,00:03:30.9,179th,00:03:20.0,174th,00:03:24.4,151st,00:02:26.5,97th=,00:02:39.2,104th,00:02:31.6,185th
131st,131,James Clews,FAF,Enduro | Master Male,00:22:40.0,+3:14.25, ,00:04:43.4,147th,00:03:33.2,202nd,00:03:22.7,198th,00:03:23.6,146th,00:02:28.4,138th=,00:02:37.3,76th,00:02:31.5,184th
132nd,930,Alastair Bell,team colin,Enduro | Master Male,00:22:40.0,+3:14.26, ,00:04:36.0,91st,00:03:49.1,397th,00:03:14.9,116th,00:03:24.4,152nd,00:02:26.6,103rd=,00:02:41.2,138th,00:02:27.7,129th
133rd,928,Thomas Harrison,Team BC,Enduro | Master Male,00:22:41.2,+3:15.42, ,00:05:18.5,539th,00:03:13.9,58th,00:03:09.7,72nd,00:03:17.1,88th,00:02:36.9,374th,00:02:43.0,168th,00:02:22.1,76th
134th,55,Duncan Pye,The Pye Man,Enduro | Veteran Male,00:22:41.4,+3:15.67, ,00:04:48.0,189th,00:03:23.8,119th,00:03:17.9,149th=,00:03:26.2,177th,00:02:35.9,341st,00:02:44.2,195th,00:02:25.4,105th=
135th,1071,Allan Brenkley,Royal racing roots,Enduro | Master Male,00:22:41.7,+3:15.94, ,00:04:41.1,130th,00:03:30.0,170th,00:03:17.6,144th=,00:03:25.3,163rd,00:02:29.2,158th,00:02:46.6,263rd,00:02:31.9,192nd
136th,1189,Stuart Bowers,Stay Safe for Baby B,Enduro | Veteran Male,00:22:41.9,+3:16.08, ,00:04:38.3,111th,00:03:35.4,222nd,00:03:19.9,170th=,00:03:26.5,188th,00:02:29.4,165th,00:02:41.9,153rd,00:02:30.4,174th
137th,445,Hayden Judge, ,Enduro | Senior Male,00:22:41.9,+3:16.12, ,00:04:54.5,245th,00:03:30.4,175th,00:03:22.6,196th,00:03:18.2,99th,00:02:28.0,129th,00:02:38.9,99th,00:02:29.3,148th
138th,238,Richard Greenfield,Army Enduro MTB Team,Enduro | Master Male,00:22:42.7,+3:16.97, ,00:04:45.8,173rd,00:03:27.2,140th,00:03:22.3,195th,00:03:26.3,181st,00:02:31.6,211th=,00:02:42.3,159th,00:02:27.2,125th
139th,508,Jeremy Vince,Hadleigh MTB Club Enduro Team,Enduro | Grand Vet Male,00:22:43.2,+3:17.43, ,00:04:55.0,255th,00:03:38.9,260th,00:03:19.9,170th=,00:03:20.4,116th,00:02:22.0,43rd,00:02:37.4,80th,00:02:29.4,154th
140th,555,Michael Wilson, ,Enduro | Master Male,00:22:43.8,+3:17.98, ,00:05:07.5,413th,00:03:24.0,122nd=,00:03:19.6,165th,00:03:20.7,120th,00:02:26.9,113th,00:02:37.2,75th,00:02:27.9,133rd
141st,73,James Harrison,#dickheadsyndicate,Enduro | Master Male,00:22:44.1,+3:18.30, ,00:04:46.0,175th,00:03:20.4,93rd,00:03:32.2,354th,00:03:21.7,133rd,00:02:33.3,262nd,00:02:45.2,227th=,00:02:25.4,104th
142nd,144,James Jones,Trace Defrein,Enduro | Veteran Male,00:22:44.4,+3:18.58, ,00:04:54.4,244th,00:03:23.4,116th,00:03:18.2,151st,00:03:22.1,138th,00:02:31.0,200th,00:02:43.1,171st,00:02:32.2,195th
143rd,385,Ashley Bell, ,Enduro | Master Male,00:22:46.1,+3:20.35, ,00:04:46.6,183rd,00:03:28.3,156th,00:03:19.9,170th=,00:03:25.8,170th,00:02:27.0,115th,00:02:45.5,234th,00:02:33.0,213th=
144th,359,Rich Parkes, ,Enduro | Senior Male,00:22:46.6,+3:20.81, ,00:04:54.6,247th,00:03:37.2,238th,00:03:15.7,121st,00:03:27.2,192nd,00:02:29.1,154th,00:02:40.0,120th,00:02:22.9,81st
145th,130,Andy Norman,FAF,Enduro | Master Male,00:22:47.3,+3:21.57, ,00:04:44.2,157th,00:03:38.3,252nd,00:03:19.6,167th,00:03:26.0,171st,00:02:29.2,159th,00:02:40.0,118th,00:02:30.1,169th
146th,75,Eoin Elliott,I-Cycles,Enduro | Master Male,00:22:48.0,+3:22.22, ,00:04:33.6,79th,00:03:39.4,266th,00:03:13.1,103rd,00:03:23.4,145th,00:02:31.8,218th,00:02:52.5,445th,00:02:34.1,236th
147th,154,Phillip Bennett,tredshop,Enduro | Master Male,00:22:49.0,+3:23.24, ,00:04:51.4,216th,00:03:25.0,127th,00:03:19.8,168th,00:03:21.4,127th,00:02:39.4,451st,00:02:44.4,205th=,00:02:27.5,128th
148th,304,Steven Atkinson,BIGFOOT MBC,Enduro | Master Male,00:22:50.6,+3:24.83, ,00:04:40.0,125th,00:03:20.2,91st,00:03:35.7,414th,00:03:23.7,147th,00:02:39.4,452nd,00:02:45.4,231st,00:02:26.1,115th
149th,495,Alastair Maxwell,GravityBC,Enduro | Master Male,00:22:51.7,+3:25.94, ,00:04:39.2,116th,00:03:28.9,164th,00:03:32.7,364th,00:03:27.6,198th=,00:02:25.7,90th,00:02:44.4,202nd,00:02:33.3,220th
150th,133,Mark Stevens,FAF,Enduro | Master Male,00:22:52.1,+3:26.38, ,00:04:44.7,165th,00:03:29.6,167th,00:03:20.7,181st=,00:03:26.1,175th,00:02:36.2,351st=,00:02:43.1,173rd,00:02:31.7,186th
151st,339,Nick Stevens,WWW,Enduro | Veteran Male,00:22:52.7,+3:26.94, ,00:04:41.2,132nd,00:03:30.8,177th,00:03:37.8,453rd,00:03:24.6,155th,00:02:29.9,175th=,00:02:39.8,113th=,00:02:28.7,145th
152nd,954,Nick Miller, ,Enduro | Senior Male,00:22:53.4,+3:27.62, ,00:04:48.9,193rd,00:03:34.2,209th,00:03:24.0,207th,00:03:32.3,264th,00:02:23.4,58th,00:02:35.8,63rd,00:02:34.9,253rd
153rd,40,James Nixon,TCH Factory Racing,Enduro | Master Male,00:22:55.6,+3:29.79, ,00:04:39.2,117th=,00:03:27.8,147th,00:03:25.9,235th,00:03:29.9,236th,00:02:40.8,497th,00:02:44.0,192nd,00:02:27.9,132nd
154th,922,Jack Docherty,Team ABR,Enduro | Senior Male,00:22:56.1,+3:30.34, ,00:04:45.9,174th,00:03:27.2,141st=,00:03:37.9,455th,00:03:24.1,149th=,00:02:28.0,130th,00:02:45.4,232nd,00:02:27.7,130th
155th,127,Milan Olivier,Getabmx,Enduro | Master Male,00:22:57.0,+3:31.26, ,00:04:45.3,166th,00:03:25.7,134th,00:03:21.8,190th=,00:03:28.0,209th,00:02:37.7,399th,00:02:45.6,238th,00:02:33.0,212th
156th,784,Lewis Braithwaite,Port William Yacht Club,Enduro | Senior Male,00:22:57.5,+3:31.72, ,00:04:54.8,249th,00:03:30.9,178th,00:03:26.2,240th,00:03:23.4,144th,00:02:31.9,221st,00:02:47.1,278th,00:02:23.3,86th
157th,149,James Martin,Trace Defrein,Enduro | Master Male,00:22:58.9,+3:33.12, ,00:04:54.6,246th,00:03:34.8,215th=,00:03:21.7,188th,00:03:25.7,167th=,00:02:29.1,156th,00:02:43.2,174th=,00:02:29.8,166th
158th,46,Jason Murphy,Killarney Cycling Club,Enduro | Senior Male,00:22:59.9,+3:34.13, ,00:05:19.8,562nd,00:03:17.1,77th,00:03:17.0,136th,00:03:21.6,130th,00:02:33.1,255th=,00:02:41.0,135th,00:02:30.3,173rd
159th,974,David Bowe,The Woollybacks,Enduro | Master Male,00:23:00.0,+3:34.18, ,00:04:54.9,252nd,00:03:32.4,194th,00:03:19.9,169th,00:03:30.9,247th,00:02:27.0,116th,00:02:45.2,226th,00:02:29.6,162nd=
160th,1159,Jonty Bright,Santa Cruz,Enduro | Master Male,00:23:01.9,+3:36.09, ,00:04:44.5,162nd,00:03:40.8,277th,00:03:26.9,253rd,00:03:26.2,178th=,00:02:31.4,205th,00:02:41.6,147th,00:02:30.6,178th
161st,48,Craig Sterrett,Lazy pushbike boys,Enduro | Veteran Male,00:23:02.2,+3:36.46, ,00:04:49.5,197th,00:03:42.6,312th,00:03:21.8,193rd,00:03:27.2,193rd,00:02:31.6,210th,00:02:41.7,149th,00:02:27.8,131st
162nd,611,Paul Leach,ATS Cycles,Enduro | Senior Male,00:23:03.4,+3:37.64, ,00:04:35.3,88th,00:04:13.9,671st,00:03:15.8,122nd,00:03:24.1,149th=,00:02:27.5,124th,00:02:36.8,72nd,00:02:29.9,168th
163rd,137,Mark Baker,Fatcreations,Enduro | Master Male,00:23:04.3,+3:38.52, ,00:04:51.0,214th,00:03:35.1,219th,00:03:25.7,232nd,00:03:28.8,219th,00:02:30.1,180th=,00:02:46.3,248th,00:02:27.3,126th
164th,1149,Tom Makin,Peaty's,Enduro | Master Male,00:23:04.5,+3:38.72, ,00:04:39.8,121st,00:04:05.3,587th,00:03:16.4,128th,00:03:20.8,121st,00:02:28.3,135th,00:02:48.7,323rd,00:02:25.2,102nd
165th,676,Arran Moore,Midlothian Cycle Club,Enduro | Master Male,00:23:04.8,+3:39.03, ,00:04:53.0,229th,00:03:37.3,241st,00:03:21.6,187th,00:03:26.2,180th,00:02:26.6,103rd=,00:02:44.2,196th,00:02:35.9,267th
166th,752,Julian Hawley,Nutcracker,Enduro | Master Male,00:23:05.3,+3:39.55, ,00:04:50.1,204th,00:03:40.6,275th,00:03:19.6,166th,00:03:25.7,167th=,00:02:26.7,105th,00:02:46.9,276th,00:02:35.8,264th
167th,671,Matthew Underwood, ,Enduro | Master Male,00:23:05.6,+3:39.79, ,00:04:43.7,150th,00:03:32.8,199th,00:03:17.1,140th,00:03:22.0,136th,00:02:30.3,184th,00:02:44.6,212th,00:02:55.0,603rd
168th,409,Phil Sherwin,Spokes MTB Club,Enduro | Master Male,00:23:05.6,+3:39.81, ,00:04:48.0,190th,00:03:40.8,278th,00:03:16.9,134th=,00:03:26.5,187th,00:02:34.9,306th,00:02:44.0,193rd,00:02:34.4,242nd
169th,518,Nick Armstrong,TEAM ALPINE,Enduro | Master Male,00:23:06.5,+3:40.73, ,00:04:56.6,270th,00:03:37.1,236th,00:03:22.1,194th,00:03:29.8,235th,00:02:28.6,143rd,00:02:40.1,121st,00:02:32.2,196th
170th,36,Joe Finney,STARLING CYCLES,Enduro | Master Male,00:23:07.2,+3:41.39, ,00:06:19.4,903rd,00:03:12.9,52nd,00:03:15.1,118th,00:03:10.0,36th,00:02:19.9,31st,00:02:32.6,35th,00:02:17.3,43rd
171st,59,Peter Gunn,Peter Gunn Heating Services,Enduro | Veteran Male,00:23:07.6,+3:41.85, ,00:04:44.2,158th=,00:03:32.5,195th,00:03:21.6,186th,00:03:33.1,276th,00:02:40.1,479th,00:02:45.5,236th,00:02:30.5,176th
172nd,399,Casey Dare,Ardly Able,Enduro | Master Male,00:23:07.7,+3:41.95, ,00:04:53.5,236th,00:03:31.8,186th,00:03:27.8,266th=,00:03:27.8,204th=,00:02:32.9,251st,00:02:44.4,204th,00:02:29.6,159th
173rd,337,Mark Sayer,Mark Sayer,Enduro | Grand Vet Male,00:23:08.0,+3:42.23, ,00:04:46.1,177th,00:03:31.3,183rd,00:03:18.9,159th,00:03:32.8,270th,00:02:38.6,429th,00:02:47.3,282nd,00:02:33.0,215th
174th,657,Alan Mckinstry,Maxxis MTB,Enduro | Senior Male,00:23:08.3,+3:42.53, ,00:04:47.2,185th,00:03:31.4,184th,00:03:31.9,346th,00:03:28.6,216th,00:02:34.8,303rd=,00:02:46.4,252nd,00:02:28.0,134th
175th,264,Matthew Abbott,Bad Brains MBC,Enduro | Master Male,00:23:09.5,+3:43.76, ,00:04:49.9,199th,00:03:34.5,213th,00:03:26.4,242nd,00:03:29.0,221st=,00:02:34.2,284th=,00:02:46.9,273rd,00:02:28.7,146th
176th,610,Adam Sebes,ATS Cycles,Enduro | Senior Male,00:23:09.6,+3:43.83, ,00:04:43.9,154th,00:03:37.7,247th,00:03:26.7,249th,00:03:26.4,182nd,00:02:32.8,249th,00:02:44.6,213th,00:02:37.5,287th=
177th,1193,Oliver Mckenna,Freedom Bikes,Enduro | Master Male,00:23:10.1,+3:44.36, ,00:04:44.0,155th,00:03:39.6,268th,00:03:39.1,481st,00:03:37.3,334th=,00:02:18.7,26th,00:02:28.4,12th,00:02:43.0,406th
178th,308,Phil Dullage,Bikes N Beer,Enduro | Master Male,00:23:10.4,+3:44.60, ,00:04:57.0,276th,00:03:33.7,205th,00:03:26.6,246th,00:03:26.2,178th=,00:02:31.7,214th,00:02:43.8,188th,00:02:31.4,183rd
179th,104,Jon Lambe,Bollocknack UK,Enduro | Master Male,00:23:11.8,+3:46.04, ,00:04:53.3,232nd=,00:03:35.4,220th,00:03:20.5,179th,00:03:24.6,156th,00:02:36.9,375th,00:02:49.8,357th,00:02:31.3,182nd
180th,441,Tom Grundy,GMBN,Enduro | Senior Male,00:23:12.1,+3:46.34, ,00:04:47.5,187th,00:03:32.4,191st,00:03:18.6,154th,00:03:30.1,240th,00:02:29.0,153rd,00:02:49.5,344th,00:02:45.1,446th
181st,83,Joe Buckworth,Bike Scene,Enduro | Grand Vet Male,00:23:12.7,+3:46.94, ,00:04:44.6,163rd,00:03:42.0,299th,00:03:28.3,281st,00:03:27.2,194th,00:02:36.4,359th,00:02:47.9,296th,00:02:26.3,118th
182nd,581,Sam Yeadon,Lazy Pushbike Boys,Enduro | Senior Male,00:23:12.7,+3:46.94, ,00:04:28.9,58th,00:03:21.8,109th,00:04:20.3,837th,00:03:17.8,92nd,00:02:26.7,107th,00:02:39.3,106th,00:02:37.9,291st
183rd,159,Keith Waights,Walton Street Cycles,Enduro | Master Male,00:23:13.0,+3:47.25, ,00:04:56.5,269th,00:03:32.9,200th,00:03:28.2,276th=,00:03:21.1,124th,00:02:35.6,329th,00:02:46.4,250th=,00:02:32.3,197th
184th,520,Dominic Wood,High Peak Cycles / Team Moron,Enduro | Veteran Male,00:23:13.1,+3:47.36, ,00:04:55.2,257th,00:03:35.4,221st,00:03:26.2,239th,00:03:29.5,229th=,00:02:31.0,198th,00:02:43.1,172nd,00:02:32.9,211th
185th,1079,Matthew Pratley,high peak cycles / team moron,Enduro | Veteran Male,00:23:13.2,+3:47.41, ,00:04:59.0,302nd,00:03:34.8,215th=,00:03:27.7,264th,00:03:27.8,202nd=,00:02:31.6,211th=,00:02:39.7,112th,00:02:32.6,204th
186th,395,Ian Hampson,Dirtlab,Enduro | Master Male,00:23:13.2,+3:47.43, ,00:04:43.9,152nd=,00:03:32.8,197th,00:03:38.2,466th,00:03:29.9,237th,00:02:31.7,215th,00:02:44.2,198th=,00:02:32.4,200th
187th,310,Jamie Charlton,Team Rust,Enduro | Veteran Male,00:23:13.5,+3:47.70, ,00:04:46.4,181st=,00:03:25.8,135th,00:03:11.5,88th,00:03:21.5,129th,00:02:41.9,521st,00:02:46.7,266th,00:02:59.5,672nd
188th,857,Ben Davies, ,Enduro | Senior Male,00:23:13.6,+3:47.83, ,00:04:50.0,201st,00:03:34.3,212th,00:03:26.8,250th,00:03:33.7,283rd,00:02:31.5,207th,00:02:42.2,158th,00:02:35.2,255th
189th,557,Stewart Robinson, ,Enduro | Senior Male,00:23:13.9,+3:48.14, ,00:04:50.5,207th,00:03:40.9,280th=,00:03:25.0,224th,00:03:28.1,211th,00:02:33.6,269th,00:02:46.5,255th,00:02:29.3,150th
190th,232,Marc Eddon,REME Cycling association,Enduro | Master Male,00:23:14.0,+3:48.23, ,00:04:52.7,224th,00:03:32.4,192nd=,00:03:24.8,217th=,00:03:25.1,160th,00:02:35.8,339th,00:02:48.5,316th=,00:02:34.7,249th
191st,1003,Rich Peters,Tramptastic Pie Eaters,Enduro | Master Male,00:23:14.0,+3:48.23, ,00:04:59.1,304th,00:03:27.4,144th,00:03:26.3,241st,00:03:29.3,228th,00:02:29.5,167th,00:02:43.0,169th,00:02:39.5,325th
192nd,612,Mark Condliffe,ATS Cycles,Enduro | Grand Vet Male,00:23:14.1,+3:48.33, ,00:04:51.2,215th,00:03:49.6,404th,00:03:17.1,139th,00:03:28.4,214th,00:02:30.7,191st=,00:02:44.1,194th,00:02:33.1,216th=
193rd,92,Samuel Owen,TNR,Enduro | Senior Male,00:23:15.2,+3:49.38, ,00:04:57.3,279th,00:03:30.0,169th,00:03:21.8,190th=,00:03:28.8,218th,00:02:39.1,441st,00:02:48.1,301st=,00:02:30.1,170th
194th,372,Tom Nancarrow,Stage 7 Racing,Enduro | Master Male,00:23:15.9,+3:50.09, ,00:04:53.5,237th,00:03:34.5,214th,00:03:27.8,270th,00:03:29.2,225th,00:02:34.8,302nd,00:02:43.9,190th,00:02:32.2,194th
195th,1108,Andrew Stiles, ,Enduro | Veteran Male,00:23:17.7,+3:51.96, ,00:04:52.0,220th,00:03:37.6,245th,00:03:31.7,343rd,00:03:28.5,215th,00:02:31.9,222nd,00:02:47.1,280th,00:02:28.8,147th
196th,727,Rowland Jowett,Guildford Flames,Enduro | Master Male,00:23:18.2,+3:52.40, ,00:04:42.2,139th,00:03:41.7,295th=,00:03:31.2,334th=,00:03:30.6,244th,00:02:28.9,149th=,00:02:45.5,233rd,00:02:38.2,298th
197th,313,Richard Mawson,biketreks,Enduro | Veteran Male,00:23:18.5,+3:52.74, ,00:04:50.7,209th,00:03:43.7,326th=,00:03:25.4,228th,00:03:32.1,260th,00:02:30.2,183rd,00:02:46.8,271st=,00:02:29.5,157th
198th,1062,Daniel Rowe,Sherwood Old Boys,Enduro | Senior Male,00:23:19.4,+3:53.63, ,00:04:48.0,188th,00:03:33.5,203rd,00:03:51.4,641st=,00:03:30.6,245th,00:02:25.3,88th=,00:02:41.3,140th,00:02:29.4,153rd
199th,49,Shaun Corris,Manx Ard Rockers,Enduro | Veteran Male,00:23:19.4,+3:53.67, ,00:04:36.6,95th,00:03:26.6,138th,00:03:10.6,78th,00:04:19.4,829th,00:02:33.1,254th,00:02:44.7,215th,00:02:28.5,144th
200th,1089,Mark Snook,FodMTB,Enduro | Master Male,00:23:22.0,+3:56.18, ,00:04:49.5,196th,00:03:40.9,283rd,00:03:32.5,355th,00:03:27.7,200th=,00:02:35.8,340th,00:02:42.0,155th,00:02:33.6,225th
201st,31,Rob Loynes,Pinned TV,Enduro | Veteran Male,00:23:22.0,+3:56.22, ,00:04:52.9,227th,00:03:33.6,204th,00:03:20.7,181st=,00:03:27.5,197th,00:02:35.5,323rd,00:02:47.7,291st,00:02:44.1,425th
202nd,488,Keir Hornsby, ,Enduro | Senior Male,00:23:22.3,+3:56.50, ,00:04:48.6,192nd,00:03:42.4,310th,00:03:39.0,479th,00:03:29.5,229th=,00:02:29.6,168th,00:02:41.4,145th,00:02:31.8,188th
203rd,71,Mike Robinson,Velosport,Enduro | Grand Vet Male,00:23:23.0,+3:57.25, ,00:04:50.1,203rd,00:03:38.5,256th,00:03:22.9,200th,00:03:33.6,281st,00:02:39.0,439th,00:02:49.3,338th,00:02:29.7,164th
204th,1148,Bryn Morgan,Peaty's,Enduro | Master Male,00:23:23.4,+3:57.61, ,00:04:46.4,181st=,00:03:21.1,104th,00:04:09.6,781st,00:03:20.9,122nd,00:02:30.7,191st=,00:02:46.2,247th,00:02:28.4,143rd
205th,648,Phil Brophy,Manx MTB Enduro,Enduro | Master Male,00:23:24.3,+3:58.48, ,00:04:57.8,286th,00:03:36.0,228th,00:03:28.2,274th=,00:03:30.0,238th=,00:02:35.7,332nd,00:02:44.8,218th,00:02:31.9,189th=
206th,93,Paul Barnes,TNR,Enduro | Master Male,00:23:24.3,+3:58.55, ,00:04:53.3,232nd=,00:03:30.4,174th,00:03:28.3,279th,00:03:28.2,212th,00:02:41.2,507th,00:02:49.8,355th,00:02:33.3,221st
207th,415,Mark Donnellan,Spokes MTB Club,Enduro | Veteran Male,00:23:24.7,+3:58.94, ,00:04:52.7,225th,00:03:39.0,263rd,00:03:27.4,260th,00:03:29.8,233rd=,00:02:35.0,310th,00:02:46.5,258th,00:02:34.2,238th
208th,710,John Barwood,Mr T Racing,Enduro | Master Male,00:23:24.9,+3:59.13, ,00:04:57.6,285th,00:03:42.7,313th,00:03:23.3,203rd,00:03:33.9,285th,00:02:35.2,312th=,00:02:42.9,167th,00:02:29.3,149th
209th,1059,Callum Powell,Ns Bikes/Btp bearings,Enduro | Senior Male,00:23:25.5,+3:59.73, ,00:04:44.1,156th,00:03:43.0,319th,00:03:19.2,161st,00:03:31.2,250th,00:02:28.4,140th,00:02:46.3,249th,00:02:53.3,580th
210th,155,Matthew Robinson,Trumpton,Enduro | Veteran Male,00:23:25.6,+3:59.82, ,00:04:55.0,254th,00:03:43.7,326th=,00:03:20.5,177th,00:03:27.6,198th=,00:02:33.4,263rd,00:02:45.2,227th=,00:02:40.3,345th
211th,932,Jason Hardy,Team Colin,Enduro | Master Male,00:23:25.6,+3:59.86, ,00:05:03.5,349th,00:03:42.3,307th,00:03:17.9,149th=,00:03:35.8,308th,00:02:28.3,134th,00:02:46.1,246th,00:02:31.8,187th
212th,24,Stephen Simms,BRINK,Enduro | Master Male,00:23:26.2,+4:00.46, ,00:07:20.9,974th,00:03:03.9,19th,00:03:01.5,28th,00:03:03.7,15th,00:02:15.2,5th,00:02:29.9,19th,00:02:11.2,19th
213th,1157,Brad Dobbing,Start Cycles,Enduro | Grand Vet Male,00:23:27.1,+4:01.29, ,00:04:43.6,148th,00:03:41.7,295th=,00:03:23.3,202nd,00:03:35.3,303rd,00:02:32.4,235th=,00:02:47.7,288th=,00:02:43.2,412th=
214th,742,Steve Taylor,Norfolk n Chance,Enduro | Veteran Male,00:23:27.5,+4:01.71, ,00:04:51.8,218th,00:03:47.4,377th,00:03:24.2,209th,00:03:29.2,226th,00:02:39.6,459th,00:02:41.9,154th,00:02:33.3,222nd
